Epoch: 262, Training Error: 0,00244, Validation Error: 0,00283
Epoch: 263, Training Error: 0,00243, Validation Error: 0,00282
Epoch: 264, Training Error: 0,00243, Validation Error: 0,00281
Epoch: 265, Training Error: 0,00242, Validation Error: 0,00280
Epoch: 266, Training Error: 0,00241, Validation Error: 0,00280
Epoch: 267, Training Error: 0,00240, Validation Error: 0,00279
Epoch: 268, Training Error: 0,00240, Validation Error: 0,00278
Epoch: 269, Training Error: 0,00239, Validation Error: 0,00277
Epoch: 270, Training Error: 0,00238, Validation Error: 0,00277
Epoch: 271, Training Error: 0,00238, Validation Error: 0,00276
Epoch: 272, Training Error: 0,00237, Validation Error: 0,00275
Epoch: 273, Training Error: 0,00236, Validation Error: 0,00274
Epoch: 274, Training Error: 0,00236, Validation Error: 0,00274
Epoch: 275, Training Error: 0,00235, Validation Error: 0,00273
Epoch: 276, Training Error: 0,00234, Validation Error: 0,00272
Epoch: 277, Training Error: 0,00233, Validation Error: 0,00272
Epoch: 278, Training Error: 0,00233, Validation Error: 0,00271
Epoch: 279, Training Error: 0,00232, Validation Error: 0,00270
Epoch: 280, Training Error: 0,00231, Validation Error: 0,00270
Epoch: 281, Training Error: 0,00231, Validation Error: 0,00269
Epoch: 282, Training Error: 0,00230, Validation Error: 0,00268
Epoch: 283, Training Error: 0,00230, Validation Error: 0,00267
Epoch: 284, Training Error: 0,00229, Validation Error: 0,00267
Epoch: 285, Training Error: 0,00228, Validation Error: 0,00266
Epoch: 286, Training Error: 0,00228, Validation Error: 0,00265
Epoch: 287, Training Error: 0,00227, Validation Error: 0,00265
Epoch: 288, Training Error: 0,00226, Validation Error: 0,00264
Epoch: 289, Training Error: 0,00226, Validation Error: 0,00264
Epoch: 290, Training Error: 0,00225, Validation Error: 0,00263
Epoch: 291, Training Error: 0,00224, Validation Error: 0,00262
Epoch: 292, Training Error: 0,00224, Validation Error: 0,00262
Epoch: 293, Training Error: 0,00223, Validation Error: 0,00261
Epoch: 294, Training Error: 0,00223, Validation Error: 0,00260
Epoch: 295, Training Error: 0,00222, Validation Error: 0,00260
Epoch: 296, Training Error: 0,00221, Validation Error: 0,00259
Epoch: 297, Training Error: 0,00221, Validation Error: 0,00258
Epoch: 298, Training Error: 0,00220, Validation Error: 0,00258
Epoch: 299, Training Error: 0,00220, Validation Error: 0,00257
Epoch: 300, Training Error: 0,00219, Validation Error: 0,00257
Epoch: 301, Training Error: 0,00218, Validation Error: 0,00256
Epoch: 302, Training Error: 0,00218, Validation Error: 0,00255
Epoch: 303, Training Error: 0,00217, Validation Error: 0,00255
Epoch: 304, Training Error: 0,00217, Validation Error: 0,00254
Epoch: 305, Training Error: 0,00216, Validation Error: 0,00254
Epoch: 306, Training Error: 0,00216, Validation Error: 0,00253
Epoch: 307, Training Error: 0,00215, Validation Error: 0,00252
Epoch: 308, Training Error: 0,00214, Validation Error: 0,00252
Epoch: 309, Training Error: 0,00214, Validation Error: 0,00251
Epoch: 310, Training Error: 0,00213, Validation Error: 0,00251
Epoch: 311, Training Error: 0,00213, Validation Error: 0,00250
Epoch: 312, Training Error: 0,00212, Validation Error: 0,00249
Epoch: 313, Training Error: 0,00212, Validation Error: 0,00249
Epoch: 314, Training Error: 0,00211, Validation Error: 0,00248
Epoch: 315, Training Error: 0,00211, Validation Error: 0,00248
Epoch: 316, Training Error: 0,00210, Validation Error: 0,00247
Epoch: 317, Training Error: 0,00209, Validation Error: 0,00247
Epoch: 318, Training Error: 0,00209, Validation Error: 0,00246
Epoch: 319, Training Error: 0,00208, Validation Error: 0,00246
Epoch: 320, Training Error: 0,00208, Validation Error: 0,00245
Epoch: 321, Training Error: 0,00207, Validation Error: 0,00244
Epoch: 322, Training Error: 0,00207, Validation Error: 0,00244
Epoch: 323, Training Error: 0,00206, Validation Error: 0,00243
Epoch: 324, Training Error: 0,00206, Validation Error: 0,00243
Epoch: 325, Training Error: 0,00205, Validation Error: 0,00242
Epoch: 326, Training Error: 0,00205, Validation Error: 0,00242
Epoch: 327, Training Error: 0,00204, Validation Error: 0,00241
Epoch: 328, Training Error: 0,00204, Validation Error: 0,00241
Epoch: 329, Training Error: 0,00203, Validation Error: 0,00240
Epoch: 330, Training Error: 0,00203, Validation Error: 0,00240
Epoch: 331, Training Error: 0,00202, Validation Error: 0,00239
Epoch: 332, Training Error: 0,00202, Validation Error: 0,00239
Epoch: 333, Training Error: 0,00201, Validation Error: 0,00238
Epoch: 334, Training Error: 0,00201, Validation Error: 0,00237
Epoch: 335, Training Error: 0,00200, Validation Error: 0,00237
Epoch: 336, Training Error: 0,00200, Validation Error: 0,00236
Epoch: 337, Training Error: 0,00199, Validation Error: 0,00236
Epoch: 338, Training Error: 0,00199, Validation Error: 0,00235
Epoch: 339, Training Error: 0,00198, Validation Error: 0,00235
Epoch: 340, Training Error: 0,00198, Validation Error: 0,00234
Epoch: 341, Training Error: 0,00197, Validation Error: 0,00234
Epoch: 342, Training Error: 0,00197, Validation Error: 0,00233
Epoch: 343, Training Error: 0,00197, Validation Error: 0,00233
Epoch: 344, Training Error: 0,00196, Validation Error: 0,00232
Epoch: 345, Training Error: 0,00196, Validation Error: 0,00232
Epoch: 346, Training Error: 0,00195, Validation Error: 0,00231
Epoch: 347, Training Error: 0,00195, Validation Error: 0,00231
Epoch: 348, Training Error: 0,00194, Validation Error: 0,00230
Epoch: 349, Training Error: 0,00194, Validation Error: 0,00230
Epoch: 350, Training Error: 0,00193, Validation Error: 0,00229
Epoch: 351, Training Error: 0,00193, Validation Error: 0,00229
Epoch: 352, Training Error: 0,00192, Validation Error: 0,00228
Epoch: 353, Training Error: 0,00192, Validation Error: 0,00228
Epoch: 354, Training Error: 0,00192, Validation Error: 0,00228
Epoch: 355, Training Error: 0,00191, Validation Error: 0,00227
Epoch: 356, Training Error: 0,00191, Validation Error: 0,00227
Epoch: 357, Training Error: 0,00190, Validation Error: 0,00226
Epoch: 358, Training Error: 0,00190, Validation Error: 0,00226
Epoch: 359, Training Error: 0,00189, Validation Error: 0,00225
Epoch: 360, Training Error: 0,00189, Validation Error: 0,00225
Epoch: 361, Training Error: 0,00189, Validation Error: 0,00224
Epoch: 362, Training Error: 0,00188, Validation Error: 0,00224
Epoch: 363, Training Error: 0,00188, Validation Error: 0,00223
Epoch: 364, Training Error: 0,00187, Validation Error: 0,00223
Epoch: 365, Training Error: 0,00187, Validation Error: 0,00222
Epoch: 366, Training Error: 0,00186, Validation Error: 0,00222
Epoch: 367, Training Error: 0,00186, Validation Error: 0,00222
Epoch: 368, Training Error: 0,00186, Validation Error: 0,00221
Epoch: 369, Training Error: 0,00185, Validation Error: 0,00221
Epoch: 370, Training Error: 0,00185, Validation Error: 0,00220
Epoch: 371, Training Error: 0,00184, Validation Error: 0,00220
Epoch: 372, Training Error: 0,00184, Validation Error: 0,00219
Epoch: 373, Training Error: 0,00184, Validation Error: 0,00219
Epoch: 374, Training Error: 0,00183, Validation Error: 0,00218
Epoch: 375, Training Error: 0,00183, Validation Error: 0,00218
Epoch: 376, Training Error: 0,00182, Validation Error: 0,00218
Epoch: 377, Training Error: 0,00182, Validation Error: 0,00217
Epoch: 378, Training Error: 0,00182, Validation Error: 0,00217
Epoch: 379, Training Error: 0,00181, Validation Error: 0,00216
Epoch: 380, Training Error: 0,00181, Validation Error: 0,00216
Epoch: 381, Training Error: 0,00180, Validation Error: 0,00215
Epoch: 382, Training Error: 0,00180, Validation Error: 0,00215
Epoch: 383, Training Error: 0,00180, Validation Error: 0,00215
Epoch: 384, Training Error: 0,00179, Validation Error: 0,00214
Epoch: 385, Training Error: 0,00179, Validation Error: 0,00214
Epoch: 386, Training Error: 0,00179, Validation Error: 0,00213
Epoch: 387, Training Error: 0,00178, Validation Error: 0,00213
Epoch: 388, Training Error: 0,00178, Validation Error: 0,00212
Epoch: 389, Training Error: 0,00177, Validation Error: 0,00212
Epoch: 390, Training Error: 0,00177, Validation Error: 0,00212
Epoch: 391, Training Error: 0,00177, Validation Error: 0,00211
Epoch: 392, Training Error: 0,00176, Validation Error: 0,00211
Epoch: 393, Training Error: 0,00176, Validation Error: 0,00210
Epoch: 394, Training Error: 0,00176, Validation Error: 0,00210
Epoch: 395, Training Error: 0,00175, Validation Error: 0,00210
Epoch: 396, Training Error: 0,00175, Validation Error: 0,00209
Epoch: 397, Training Error: 0,00175, Validation Error: 0,00209
Epoch: 398, Training Error: 0,00174, Validation Error: 0,00208
Epoch: 399, Training Error: 0,00174, Validation Error: 0,00208
Epoch: 400, Training Error: 0,00173, Validation Error: 0,00208
Epoch: 401, Training Error: 0,00173, Validation Error: 0,00207
Epoch: 402, Training Error: 0,00173, Validation Error: 0,00207
Epoch: 403, Training Error: 0,00172, Validation Error: 0,00206
Epoch: 404, Training Error: 0,00172, Validation Error: 0,00206
Epoch: 405, Training Error: 0,00172, Validation Error: 0,00206
Epoch: 406, Training Error: 0,00171, Validation Error: 0,00205
Epoch: 407, Training Error: 0,00171, Validation Error: 0,00205
Epoch: 408, Training Error: 0,00171, Validation Error: 0,00204
Epoch: 409, Training Error: 0,00170, Validation Error: 0,00204
Epoch: 410, Training Error: 0,00170, Validation Error: 0,00204
Epoch: 411, Training Error: 0,00170, Validation Error: 0,00203
Epoch: 412, Training Error: 0,00169, Validation Error: 0,00203
Epoch: 413, Training Error: 0,00169, Validation Error: 0,00203
Epoch: 414, Training Error: 0,00169, Validation Error: 0,00202
Epoch: 415, Training Error: 0,00168, Validation Error: 0,00202
Epoch: 416, Training Error: 0,00168, Validation Error: 0,00201
Epoch: 417, Training Error: 0,00168, Validation Error: 0,00201
Epoch: 418, Training Error: 0,00167, Validation Error: 0,00201
Epoch: 419, Training Error: 0,00167, Validation Error: 0,00200
Epoch: 420, Training Error: 0,00167, Validation Error: 0,00200
Epoch: 421, Training Error: 0,00166, Validation Error: 0,00200
Epoch: 422, Training Error: 0,00166, Validation Error: 0,00199
Epoch: 423, Training Error: 0,00166, Validation Error: 0,00199
Epoch: 424, Training Error: 0,00166, Validation Error: 0,00199
Epoch: 425, Training Error: 0,00165, Validation Error: 0,00198
Epoch: 426, Training Error: 0,00165, Validation Error: 0,00198
Epoch: 427, Training Error: 0,00165, Validation Error: 0,00198
